title,year,genre,overview,rating,language,industry,time,poster_url
Zenda,1966,"Action, Romance","This is the story of Movie 67, which involves unexpected events and dramatic turns.",4.4,Marathi,Marathi,02:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Article 15,1974,Drama,"This is the story of Movie 68, which involves unexpected events and dramatic turns.",4.1,Hindi,Bollywood,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Article 15,1958,"Romance, Sci-Fi, Crime","This is the story of Movie 69, which involves unexpected events and dramatic turns.",6.6,Hindi,Bollywood,01:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1985,"Drama, Crime","This is the story of Movie 70, which involves unexpected events and dramatic turns.",5.9,English,Hollywood,02:49:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
La La Land,2016,"Thriller, Adventure, Fantasy","This is the story of Movie 71, which involves unexpected events and dramatic turns.",4.7,English,Hollywood,02:27:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,2012,"Adventure, Comedy","This is the story of Movie 72, which involves unexpected events and dramatic turns.",8.9,English,Hollywood,02:22:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1953,Drama,"This is the story of Movie 73, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,1994,Drama,"This is the story of Movie 74, which involves unexpected events and dramatic turns.",4.7,English,Hollywood,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1967,"Thriller, Romance, Crime","This is the story of Movie 75, which involves unexpected events and dramatic turns.",6.0,English,Hollywood,01:53:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fight Club,1987,"Thriller, Romance, Action","This is the story of Movie 76, which involves unexpected events and dramatic turns.",7.2,English,Hollywood,02:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Swades,1994,"Horror, Action","This is the story of Movie 77, which involves unexpected events and dramatic turns.",8.9,Hindi,Bollywood,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Ventilator,1955,"Comedy, Crime","This is the story of Movie 78, which involves unexpected events and dramatic turns.",7.9,Marathi,Marathi,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1953,"Fantasy, Comedy","This is the story of Movie 79, which involves unexpected events and dramatic turns.",7.5,Hindi,Bollywood,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,2022,Romance,"This is the story of Movie 80, which involves unexpected events and dramatic turns.",9.2,English,Hollywood,01:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,2002,"Drama, Fantasy","This is the story of Movie 81, which involves unexpected events and dramatic turns.",5.6,English,Hollywood,02:28:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Golden Secret,1985,"Horror, Drama, Thriller","This is the story of Movie 82, which involves unexpected events and dramatic turns.",4.5,English,Hollywood,02:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Katyar Kaljat Ghusali,1996,"Sci-Fi, Drama","This is the story of Movie 83, which involves unexpected events and dramatic turns.",5.9,Marathi,Marathi,02:21:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,2021,Horror,"This is the story of Movie 84, which involves unexpected events and dramatic turns.",5.3,English,Hollywood,01:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Prestige,1989,Horror,"This is the story of Movie 85, which involves unexpected events and dramatic turns.",4.3,English,Hollywood,02:00:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Jogwa,1966,Sci-Fi,"This is the story of Movie 86, which involves unexpected events and dramatic turns.",5.3,Marathi,Marathi,01:45:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1998,Crime,"This is the story of Movie 87, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,01:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Duniyadari,1959,"Drama, Crime","This is the story of Movie 88, which involves unexpected events and dramatic turns.",5.8,Marathi,Marathi,02:30:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1981,"Thriller, Fantasy","This is the story of Movie 89, which involves unexpected events and dramatic turns.",5.7,Hindi,Bollywood,02:04:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,2011,"Sci-Fi, Crime, Romance","This is the story of Movie 90, which involves unexpected events and dramatic turns.",6.2,Hindi,Bollywood,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1990,"Romance, Horror, Adventure","This is the story of Movie 91, which involves unexpected events and dramatic turns.",7.9,English,Hollywood,02:25:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,2004,"Sci-Fi, Action","This is the story of Movie 92, which involves unexpected events and dramatic turns.",4.2,English,Hollywood,02:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,2010,"Action, Romance, Drama","This is the story of Movie 93, which involves unexpected events and dramatic turns.",6.2,Hindi,Bollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Barfi!,1966,"Action, Comedy, Thriller","This is the story of Movie 94, which involves unexpected events and dramatic turns.",4.1,Hindi,Bollywood,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chak De! India,1964,Romance,"This is the story of Movie 95, which involves unexpected events and dramatic turns.",9.2,Hindi,Bollywood,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Hidden Truth,1958,"Drama, Fantasy","This is the story of Movie 96, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,02:25:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,2019,Drama,"This is the story of Movie 97, which involves unexpected events and dramatic turns.",7.0,English,Hollywood,02:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,1981,"Sci-Fi, Comedy","This is the story of Movie 98, which involves unexpected events and dramatic turns.",8.0,Hindi,Bollywood,01:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sholay,2014,"Drama, Sci-Fi, Romance","This is the story of Movie 99, which involves unexpected events and dramatic turns.",7.7,Hindi,Bollywood,02:32:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1968,"Comedy, Sci-Fi, Drama","This is the story of Movie 100, which involves unexpected events and dramatic turns.",6.5,English,Hollywood,02:48:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,2013,"Romance, Comedy","This is the story of Movie 101, which involves unexpected events and dramatic turns.",4.5,Hindi,Bollywood,01:37:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1970,Horror,"This is the story of Movie 102, which involves unexpected events and dramatic turns.",6.8,English,Hollywood,01:53:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,1969,"Adventure, Crime","This is the story of Movie 103, which involves unexpected events and dramatic turns.",4.4,English,Hollywood,02:16:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Court,2013,"Horror, Romance, Adventure","This is the story of Movie 104, which involves unexpected events and dramatic turns.",9.1,Marathi,Marathi,02:31:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Zindagi Na Milegi Dobara,2006,"Sci-Fi, Comedy, Adventure","This is the story of Movie 105, which involves unexpected events and dramatic turns.",4.0,Hindi,Bollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sairat,2014,Drama,"This is the story of Movie 106, which involves unexpected events and dramatic turns.",8.9,Marathi,Marathi,02:10:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1992,"Romance, Comedy","This is the story of Movie 107, which involves unexpected events and dramatic turns.",8.9,English,Hollywood,01:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Disciple,1978,"Comedy, Action","This is the story of Movie 108, which involves unexpected events and dramatic turns.",6.7,Marathi,Marathi,02:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
La La Land,1952,Fantasy,"This is the story of Movie 109, which involves unexpected events and dramatic turns.",4.6,English,Hollywood,02:15:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,1967,Thriller,"This is the story of Movie 110, which involves unexpected events and dramatic turns.",6.7,Marathi,Marathi,01:55:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,2003,"Thriller, Adventure","This is the story of Movie 111, which involves unexpected events and dramatic turns.",8.0,Hindi,Bollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Jogwa,1977,Crime,"This is the story of Movie 112, which involves unexpected events and dramatic turns.",9.4,Marathi,Marathi,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Queen,1996,"Sci-Fi, Comedy","This is the story of Movie 113, which involves unexpected events and dramatic turns.",5.6,Hindi,Bollywood,01:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,2018,Crime,"This is the story of Movie 114, which involves unexpected events and dramatic turns.",8.9,English,Hollywood,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1959,Adventure,"This is the story of Movie 115, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,02:27:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Prestige,1964,Crime,"This is the story of Movie 116, which involves unexpected events and dramatic turns.",5.3,English,Hollywood,01:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Ti Saddhya Kay Karte,1953,"Fantasy, Adventure","This is the story of Movie 117, which involves unexpected events and dramatic turns.",4.3,Marathi,Marathi,02:22:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Drishyam,1986,"Fantasy, Action","This is the story of Movie 118, which involves unexpected events and dramatic turns.",9.4,Hindi,Bollywood,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,1997,"Adventure, Horror, Fantasy","This is the story of Movie 119, which involves unexpected events and dramatic turns.",6.2,English,Hollywood,02:12:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1968,"Crime, Drama","This is the story of Movie 120, which involves unexpected events and dramatic turns.",5.9,English,Hollywood,02:21:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1950,"Adventure, Drama","This is the story of Movie 121, which involves unexpected events and dramatic turns.",5.3,English,Hollywood,02:16:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fight Club,1985,"Comedy, Action, Drama","This is the story of Movie 122, which involves unexpected events and dramatic turns.",4.8,English,Hollywood,02:50:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1973,Action,"This is the story of Movie 123, which involves unexpected events and dramatic turns.",9.4,English,Hollywood,03:00:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Disciple,1984,Sci-Fi,"This is the story of Movie 124, which involves unexpected events and dramatic turns.",7.2,Marathi,Marathi,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1999,"Drama, Sci-Fi, Romance","This is the story of Movie 125, which involves unexpected events and dramatic turns.",5.9,English,Hollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Queen,1991,"Comedy, Sci-Fi","This is the story of Movie 126, which involves unexpected events and dramatic turns.",4.7,Hindi,Bollywood,01:33:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Swades,2002,Fantasy,"This is the story of Movie 127, which involves unexpected events and dramatic turns.",4.1,Hindi,Bollywood,01:53:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Andaz Apna Apna,1965,Drama,"This is the story of Movie 128, which involves unexpected events and dramatic turns.",4.1,Hindi,Bollywood,02:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sholay,1977,"Comedy, Crime","This is the story of Movie 129, which involves unexpected events and dramatic turns.",9.1,Hindi,Bollywood,01:36:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Katyar Kaljat Ghusali,2018,Romance,"This is the story of Movie 130, which involves unexpected events and dramatic turns.",4.1,Marathi,Marathi,01:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,2005,Drama,"This is the story of Movie 131, which involves unexpected events and dramatic turns.",5.8,English,Hollywood,02:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,2003,"Action, Comedy, Crime","This is the story of Movie 132, which involves unexpected events and dramatic turns.",6.8,English,Hollywood,02:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Golden Truth,1962,"Crime, Thriller","This is the story of Movie 133, which involves unexpected events and dramatic turns.",4.8,English,Hollywood,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1997,Sci-Fi,"This is the story of Movie 134, which involves unexpected events and dramatic turns.",8.9,Hindi,Bollywood,01:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mee Shivajiraje Bhosale Boltoy,1972,"Sci-Fi, Romance","This is the story of Movie 135, which involves unexpected events and dramatic turns.",7.5,Marathi,Marathi,01:32:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avengers: Endgame,2008,"Drama, Sci-Fi, Action","This is the story of Movie 136, which involves unexpected events and dramatic turns.",7.6,English,Hollywood,02:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Kahaani,2018,Adventure,"This is the story of Movie 137, which involves unexpected events and dramatic turns.",8.1,Hindi,Bollywood,02:27:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avengers: Endgame,1990,"Sci-Fi, Action","This is the story of Movie 138, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,02:59:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Anandi Gopal,1953,"Romance, Adventure, Action","This is the story of Movie 139, which involves unexpected events and dramatic turns.",4.5,Marathi,Marathi,03:00:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,1952,Horror,"This is the story of Movie 140, which involves unexpected events and dramatic turns.",5.4,English,Hollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,1961,"Comedy, Thriller, Sci-Fi","This is the story of Movie 141, which involves unexpected events and dramatic turns.",9.3,Hindi,Bollywood,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,1972,"Romance, Crime","This is the story of Movie 142, which involves unexpected events and dramatic turns.",7.5,Hindi,Bollywood,01:30:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fandry,2005,Adventure,"This is the story of Movie 143, which involves unexpected events and dramatic turns.",8.5,Marathi,Marathi,02:50:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,2005,"Action, Sci-Fi, Comedy","This is the story of Movie 144, which involves unexpected events and dramatic turns.",6.9,English,Hollywood,02:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,2003,"Comedy, Horror, Action","This is the story of Movie 145, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,02:32:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,1984,Thriller,"This is the story of Movie 146, which involves unexpected events and dramatic turns.",5.2,Marathi,Marathi,01:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1963,"Crime, Adventure, Romance","This is the story of Movie 147, which involves unexpected events and dramatic turns.",8.6,English,Hollywood,02:24:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
